means,mins
1000.0,1000.0
1000.0,1000.0
881.0,881.0
774.9,774.9
666.5,666.5
517.9,517.9
417.1,417.1
417.1,417.1
397.6,397.6
379.8,379.8
379.8,379.8
379.8,379.8
366.8,366.8
347.2,347.2
346.3,346.3
337.0,337.0
335.4,335.4
335.4,335.4
335.4,335.4
335.4,335.4
335.4,335.4
330.8,330.8
330.8,330.8
330.8,330.8
325.9,325.9
325.9,325.9
325.9,325.9
320.3,320.3
320.3,320.3
320.3,320.3
304.1,304.1
304.1,304.1
304.1,304.1
304.1,304.1
304.1,304.1
304.1,304.1
304.1,304.1
304.1,304.1
304.1,304.1
304.1,304.1
304.1,304.1
304.1,304.1
304.1,304.1
304.1,304.1
304.1,304.1
304.1,304.1
304.1,304.1
304.1,304.1
297.2,297.2
297.2,297.2
